TIME_STAMP,Air_Pressure,Air_Temp
0,27,0
199,27,0
399,27,0
599,27,0
798,27,0
998,27,0
1198,27,0
1397,27,0
1597,27,0
1797,27,0
1996,27,0
2196,27,0
2396,27,0
2595,27,0
2795,27,0
2995,27,0
3194,27,0
3394,27,0
3594,27,0
3793,27,0
3993,27,0
4193,27,0
4392,27,0
4592,27,0
4792,27,0
4992,27,0
5191,27,0
5391,27,0
5591,27,0
5790,27,0
5990,27,0
6190,27,0
6389,27,0
6589,27,0
6789,27,0
6988,27,0
7188,27,0
7388,27,0
7587,27,0
7787,27,0
7987,27,0
8186,27,0
8386,27,0
8586,27,0
8785,27,0
8985,27,0
9185,27,0
9384,27,0
9584,27,0
9784,27,0
9984,27,0
10183,27,0
10383,27,0
10583,27,0
10782,27,0
10982,27,0
11182,27,0
11381,27,0
11581,27,0
11781,27,0
11980,27,0
12180,27,0
12380,27,0
12579,27,0
12779,27,0
12979,27,0
13178,27,0
13378,27,0
13578,27,0
13778,27,0
13978,27,0
14179,27,0
14379,27,0
14579,27,0
14779,27,0
14980,27,0
15179,27,0
15380,27,0
15580,27,0
15780,27,0
15980,27,0
16181,27,0
16380,27,0
16581,27,0
16781,27,0
16982,27,0
17181,27,0
17382,27,0
17582,27,0
17782,27,0
17981,27,0
18181,27,0
18380,27,0
18580,27,0
18780,27,0
18979,27,0
19179,27,0
19379,27,0
19578,27,0
19778,27,0
19978,27,0
20177,27,0
20377,27,0
20577,27,0
20776,27,0
20976,27,0
21176,27,0
21376,27,0
21575,27,0
21775,27,0
21975,27,0
22174,27,0
22374,27,0
22574,27,0
22773,27,0
22973,27,0
23173,27,0
23372,27,0
23572,27,0
23772,27,0
23971,27,0
24171,27,0
24371,27,0
24570,27,0
24770,27,0
24970,27,0
25169,27,0
25369,27,0
25569,27,0
25768,27,0
25968,27,0
26168,27,0
26368,27,0
26567,27,0
26767,27,0
26967,27,0
27166,27,0
27366,27,0
27566,27,0
27765,27,0
27965,27,0
28165,27,0
28364,27,0
28564,27,0
28764,27,0
28963,27,0
29163,27,0
29363,27,0
29562,27,0
29762,27,0
29962,27,0
30161,27,0
30361,27,0
30561,27,0
30760,27,0
30960,27,0
31160,27,0
31360,27,0
31559,27,0
31759,27,0
31959,27,0
32158,27,0
32358,27,0
32558,27,0
32757,27,0
32957,27,0
33157,27,0
33356,27,0
33556,27,0
33756,27,0
33955,27,0
34155,27,0
34355,27,0
34554,27,0
34754,27,0
34954,27,0
35154,27,0
35354,27,0
35555,27,0
35755,27,0
35955,27,0
36155,27,0
36356,27,0
36555,27,0
36756,27,0
36956,27,0
37156,27,0
37356,27,0
37557,27,0
37756,27,0
37957,27,0
38157,27,0
38358,27,0
38557,27,0
38758,27,0
38958,27,0
39157,27,0
39357,27,0
39557,27,0
39756,27,0
39956,27,0
40156,27,0
40355,27,0
40555,27,0
40755,27,0
40954,27,0
41154,27,0
41354,27,0
